what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.5.0.v20100301,"org.eclipse.ui.forms",1271075034963
started,bundle,org.eclipse.ui.ide,3.6.0.I20100310-1300,"org.eclipse.ui.ide",1271075034964
started,bundle,org.eclipse.ui.net,1.2.100.I20100216-0800,"org.eclipse.ui.net",1271075034965
started,bundle,org.eclipse.ui.views,3.5.0.I20090914-0830,"org.eclipse.ui.views",1271075034965
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100310-1300b,"org.eclipse.ui.workbench",1271075034966
started,bundle,org.eclipse.update.configurator,3.3.100.v20100307,"org.eclipse.update.configurator",1271075034966
started,bundle,org.eclipse.update.core,3.2.400.v20100303,"org.eclipse.update.core",1271075034967
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1271075034967
os,sysinfo,,,"win32",1271075034969
arch,sysinfo,,,"x86_64",1271075034969
ws,sysinfo,,,"win32",1271075034969
locale,sysinfo,,,"de_DE",1271075034969
processors,sysinfo,,,"2",1271075034969
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1271075034969
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1271075034969
java.specification.name,sysinfo,,,"Java Platform API Specification",1271075034969
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1271075034969
java.specification.version,sysinfo,,,"1.6",1271075034969
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1271075034969
java.version,sysinfo,,,"1.6.0_18",1271075034969
java.vm.info,sysinfo,,,"mixed mode",1271075034969
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1271075034969
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1271075034969
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1271075034969
java.vm.specification.version,sysinfo,,,"1.0",1271075034969
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1271075034969
java.vm.version,sysinfo,,,"16.0-b13",1271075034969
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100310-1300b,"",1271075043360
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100310-1300b,"",1271075087362
started,bundle,org.eclipse.ui.editors,3.6.0.v20100308-1800,"org.eclipse.ui.editors",1271075087653
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100308-1800,"org.eclipse.ui.workbench.texteditor",1271075087656
started,bundle,org.eclipse.jdt.core,3.6.0.v_A39,"org.eclipse.jdt.core",1271075087749
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100308-1800,"org.eclipse.jdt.core.manipulation",1271075087815
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100308-1800,"org.eclipse.jdt.ui",1271075087822
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100308-1800,"org.eclipse.core.filebuffers",1271075087948
started,bundle,org.eclipse.debug.core,3.6.0.v20100308-1400,"org.eclipse.debug.core",1271075088241
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100104,"org.eclipse.jdt.launching",1271075088255
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100308-1800,"org.eclipse.ltk.core.refactoring",1271075088851
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100308-1800,"org.eclipse.ltk.ui.refactoring",1271075089117
started,bundle,org.eclipse.compare.core,3.5.100.I20100209-0800,"org.eclipse.compare.core",1271075089302
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100308-1800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271075089369
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100308-1800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271075089436
executed,command,org.eclipse.ui.ide,3.6.0.I20100310-1300,"org.eclipse.ui.edit.text.openLocalFile",1271075089520
started,bundle,org.eclipse.jdt.apt.core,3.3.400.v20091203-0315,"org.eclipse.jdt.apt.core",1271075090652
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.300.v20090922-0135,"org.eclipse.jdt.apt.pluggable.core",1271075090684
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100308-1800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271075157546
executed,command,org.eclipse.ui,3.6.0.I20100311-1200,"org.eclipse.ui.file.closeAll",1271075157572
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100310-1300b,"",1271075164195
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100310-1300b,"",1271075166364
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100310-1300b,"",1271075169505
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100310-1300b,"",1271075176941
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100310-1300b,"",1271075184726
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100310-1300b,"",1271075197399
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100310-1300b,"",1271075198860
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100310-1300b,"",1271075264610
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100310-1300b,"",1271075277747
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100310-1300b,"",1271075279001
